UID,Time
6ce6072,4867
a352228e,928
7f00aab9,2072
e531f676,975
8bb6ad4e,605
1d6ea2b2,644
a47819be,1298
fd8ce1ac,756
518fcd0d,376
45e86380,663
3d0b6065,460
7cc771a1,392
60743af,385
2cf41692,325
d97a60c3,381
be2a7a89,592
b714ff8e,1646
6c41e580,884
870abb8c,404
340da856,320
ac40d7d,422
37ddae7c,1375
3b7c8ee2,360
65222816,512
8cfd8835,318
7f04972d,406
3ba6f1ee,858
9d430f4d,672
5ecd1abc,857
4f608807,338
f4b5cb73,1288
4fe5c159,416
8b527b39,530
495e6885,418
94275864,560
731b41e3,423
2f041b00,726
49de378a,561
c1722710,700
82745d7,474
5ad51f2e,404
b4c6fc6c,418
8b50caa8,333
dcfe3056,358
b387e8f6,3150
8ba277d3,908
8562312a,304
9e8e5072,440
