Name,Frequency,UID
作文素材每日读,1,565157366
戴锦华讲电影,1,1424556475
意公子_,1,1929837001
大象放映室,10,49246269
歐麗娟,21,1867363969
罗翔说刑法,45,517327498
木鱼水心,10,927587
人民日报,10,1131457022
老师好我叫何同学,10,163637592
粉笔网,1,298515499
公考隔壁班王老师,3,497178825
河南春晚官方,1,1152150487
沙盘上的战争,3,612194373
酒痴东梦,1,11270116
共青团中央,10,20165629
所长林超,3,520155988
音乐私藏馆,21,229733301
哔哩哔哩漫画,6,326499679
哔哩哔哩番剧,3,928123
电影最TOP,3,17819768
路蓝君,1,5636493
观察者网,10,10330740
公考小马哥,1,501827634
新华社,21,473837611
人民网,1,33775467
环球时报,1,10303206
中国日报,6,21778636
哔哩哔哩电影,15,15773384
哔哩哔哩会员购,1,174501086
林少华林老师,1,1633547470
狂阿弥_,3,3433092
蔡丹君老师,3,472633781
智能路障,6,79577853
云视听小电视-TV,3,492840942
CCTV6放映室,1,1596341281
新青年,1,275930985
新华社快看,1,515155585
real谷智轩,1,325991242
杨真直,1,547173382
央视新闻,10,456664753
CMG观察,1,1402209327
朗读者第三季,6,1338054246
环城落日,1,96089862
嘟嘟嘟小火車,1,369521870
小朗又胖了,1,5056788
慧qing527,1,34310450
百合尚武,1,913496
放手去爱527,1,22233067
半糖冰激凌,1,11263421
国家大剧院,1,544126329
观视频工作室,1,54992199
央视频,6,433587902
迷影社,6,4856007
YouTube精品课,1,403725773
吴青峰,3,672600531
YouTube口语精选,6,454755309
42号星球,1,699633869
二美食记,1,526536863
ssteff,1,18707120
周六野Zoey,10,62540916
思维实验室,6,14583962
底层原理,1,26606146
戴建业老师,6,532741557
oskarpianist,1,566258416
环球纪录频道,1,353162606
TED英语,1,584902613
T君T酱,1,8188433
老少女阿珂,6,3341680
英语兔,10,483162496
一方见地,1,667331037
罗老师哲学人生,1,1640095931
纪录片典藏,1,1828013600
碰碰彭碰彭,1,15960317
王小七Fire,6,680677803
江湖举人,3,9303228
YouTube精彩视频-,1,412719797
文字铺,3,181508854
YouTube精选字幕组,1,487511093
皮皮在蓝色星球,1,1415383726
范李猿,1,63486758
欧阳春晓Aurora,3,493570956
阿特警官,1,477531206
肖恩Shaun-Gibson,1,5191778
破产兄弟BrokeBros,1,37992622
Youtube中文字幕组,1,382189062
雨琪在芬兰,1,323024456
TED超级演讲家,6,359516438
毛立平,1,1267193437
英文主播廖珠,1,349812913
壶提提,1,211267948
刘畊宏willliu,1,516314775
林宇辉,1,1861405014
刘加勇医生,1,448340479
张三普法,1,18337466
都靓Amber,1,272344192
匠人集,1,1177893348
笔尖君,1,1876736035
李子柒,21,19577966
bili_251850212,3,251850212
哔哩哔哩大会员,10,321173469
玛莎CN,1,483064004
锦书致南辞,3,90142376
Mmxgxg,1,402370368
安娜-谢尔巴科娃,1,2087432052
唐迟老师,1,501016517
考研英语田静,1,526106597
刘文超Vin,3,300722822
体态大师App,1,344447169
综艺哔哔机,3,429711841
吟游诗人基德,3,510856133
回形针PaperClip,3,258150656
姜峰真的苟,1,44688866
凤凰传奇,6,1646036311
李如儒也是李蠕蠕,1,474853499
papi酱,3,1532165
阿紫VirgoAzi,1,32291109
三代鹿人,3,5870268
卿卿乃是信仰吖,1,506995564
亲爱的嘉倩,1,388362147
淮秀帮,1,20706631
老邪说电影,1,154021609
西西相,3,180904367
哔哩哔哩纪录片,15,7584632
山竹Excel表格教学,1,670562659
小王Albert,3,1140672573
司马南,1,612492134
浑元Rysn,1,42561463
毕导THU,3,254463269
取景框看世界,6,40427625
经济研究室-祈祷,1,292539548
安森垚,1,11498155
珍大户,1,355327690
旁门左道PPT,3,395619513
跑步的子章老师,1,451645162
进击的铁木君,1,481153145
锅の缸,1,1182716845
o小庄o,1,6272357
安州牧,1,7481602
拜仁慕尼黑足球俱乐部,1,473904412
知心者联盟,1,390371228
无穷小亮的科普日常,1,14804670
中国国家地理频道,3,364654971
账号已注销,6,1462924694
老番茄,1,546195
沈奕斐,10,349092963
武志红讲心理,3,508670955
杨宁老师,3,70351856
vivi可爱多,1,16206007
大连老湿王博文,1,56065480
公考陈老司,1,76075104
雯方WenFang,1,30456794
被生活治愈的小人物,3,1866448992
快乐源泉bot,1,3107068
普通话一甲小鱼老师,1,489506066
学法联盟,1,650966649
央视网快看,3,451320374
长得像美食博主的女人,1,472129071
知了解压萌物,1,1335713025
侃哥侃英语,3,1607984338
一起来玩简笔画,1,523745087
克里米亚野生动物园,3,590490400
