Name,Frequency,UID,follower,ratio
作文素材每日读,1,565157366,1106049,0.009041190760987985
戴锦华讲电影,1,1424556475,625018,0.015999539213270658
意公子_,1,1929837001,211752,0.047225055725565755
大象放映室,10,49246269,3049881,0.03278816452182889
歐麗娟,21,1867363969,676388,0.3104726872741681
罗翔说刑法,45,517327498,25291342,0.01779265014881377
木鱼水心,10,927587,9540065,0.010482108874520247
人民日报,10,1131457022,8387866,0.011921983493775413
老师好我叫何同学,10,163637592,10614497,0.00942107760735153
粉笔网,1,298515499,248127,0.04030194215059224
公考隔壁班王老师,3,497178825,511417,0.05866054511289222
河南春晚官方,1,1152150487,412061,0.02426825154528092
沙盘上的战争,3,612194373,1828791,0.016404280204791035
酒痴东梦,1,11270116,1625931,0.006150322492159877
共青团中央,10,20165629,9982099,0.010017933102045972
所长林超,3,520155988,3614714,0.008299411793021523
音乐私藏馆,21,229733301,5757797,0.03647228271507314
哔哩哔哩漫画,6,326499679,42129705,0.0014241732763141826
哔哩哔哩番剧,3,928123,5860959,0.005118616253756424
电影最TOP,3,17819768,4758735,0.006304196388325889
路蓝君,1,5636493,219440,0.045570543200874954
观察者网,10,10330740,7634169,0.013099002655036848
公考小马哥,1,501827634,560303,0.017847486092346463
新华社,21,473837611,9867452,0.021282089844470487
人民网,1,33775467,1962872,0.005094575703357121
环球时报,1,10303206,1661591,0.006018328216751295
中国日报,6,21778636,2413330,0.024861912792697227
哔哩哔哩电影,15,15773384,6815937,0.02200724566556293
哔哩哔哩会员购,1,174501086,8610665,0.001161350488028509
林少华林老师,1,1633547470,94849,0.10543073727714578
狂阿弥_,3,3433092,1801197,0.01665559069885193
蔡丹君老师,3,472633781,405826,0.07392330703306343
智能路障,6,79577853,3205135,0.018719960313684135
云视听小电视-TV,3,492840942,12234204,0.0024521415533041626
CCTV6放映室,1,1596341281,1000935,0.009990658734083632
新青年,1,275930985,535501,0.018674101448923532
新华社快看,1,515155585,1122088,0.008911956994460327
real谷智轩,1,325991242,360939,0.027705512565835224
杨真直,1,547173382,1687378,0.005926354379398095
央视新闻,10,456664753,13037718,0.007670053915876996
CMG观察,1,1402209327,41530,0.24078979051288224
朗读者第三季,6,1338054246,5103,11.757789535567314
环城落日,1,96089862,2838,3.5236081747709656
嘟嘟嘟小火車,1,369521870,258,38.75968992248062
小朗又胖了,1,5056788,3061,3.266906239790918
慧qing527,1,34310450,930,10.75268817204301
百合尚武,1,913496,588,17.006802721088434
放手去爱527,1,22233067,7138,1.4009526478005043
半糖冰激凌,1,11263421,2942,3.399048266485384
国家大剧院,1,544126329,1103282,0.009063865811279437
观视频工作室,1,54992199,4075847,0.0024534777679338796
央视频,6,433587902,2651708,0.022626925739938183
迷影社,6,4856007,2928810,0.020486136007456954
YouTube精品课,1,403725773,822927,0.01215174614516233
吴青峰,3,672600531,185640,0.16160310277957338
YouTube口语精选,6,454755309,2704046,0.02218897163731682
42号星球,1,699633869,321073,0.03114556502726794
二美食记,1,526536863,491257,0.020355944037438654
ssteff,1,18707120,205248,0.0487215466167758
周六野Zoey,10,62540916,9594219,0.010422943232794666
思维实验室,6,14583962,4917699,0.012200828070201125
底层原理,1,26606146,2559441,0.003907103152602463
戴建业老师,6,532741557,3358094,0.01786727828345484
oskarpianist,1,566258416,1558076,0.006418172155915372
环球纪录频道,1,353162606,117251,0.08528711908640438
TED英语,1,584902613,224448,0.04455374964357
T君T酱,1,8188433,1573404,0.006355646737900756
老少女阿珂,6,3341680,1621339,0.03700644960739241
英语兔,10,483162496,5426835,0.01842694682996627
一方见地,1,667331037,389749,0.025657538569694854
罗老师哲学人生,1,1640095931,652657,0.015321983829178267
纪录片典藏,1,1828013600,324645,0.030802876988710745
碰碰彭碰彭,1,15960317,2599759,0.0038465103880782796
王小七Fire,6,680677803,2325593,0.02579987125864242
江湖举人,3,9303228,1144561,0.026210922790484738
YouTube精彩视频-,1,412719797,1587976,0.006297324392811982
文字铺,3,181508854,1561016,0.01921825272771067
YouTube精选字幕组,1,487511093,2454200,0.0040746475429875315
皮皮在蓝色星球,1,1415383726,489630,0.020423585156138308
范李猿,1,63486758,1367657,0.007311774809034721
欧阳春晓Aurora,3,493570956,3855260,0.007781576339857753
阿特警官,1,477531206,3241833,0.003084674626978009
肖恩Shaun-Gibson,1,5191778,906559,0.011030721662903352
破产兄弟BrokeBros,1,37992622,1607630,0.006220336769032675
Youtube中文字幕组,1,382189062,2023788,0.004941229022012187
雨琪在芬兰,1,323024456,1270101,0.007873389596575391
TED超级演讲家,6,359516438,2139961,0.02803789414853822
