词汇,词频,次数
优秀,0.03867403314917127,7
惊喜,0.027624309392265192,5
成功,0.027624309392265192,5
美好,0.022099447513812154,4
温柔,0.022099447513812154,4
伟大,0.022099447513812154,4
辛苦,0.022099447513812154,4
年轻,0.016574585635359115,3
激动,0.016574585635359115,3
最好,0.016574585635359115,3
漂亮,0.016574585635359115,3
善良,0.016574585635359115,3
充沛,0.011049723756906077,2
浪漫,0.011049723756906077,2
矍铄,0.011049723756906077,2
著名,0.011049723756906077,2
一般,0.011049723756906077,2
苦难,0.011049723756906077,2
沉重,0.011049723756906077,2
真诚,0.011049723756906077,2
抑郁,0.011049723756906077,2
优雅,0.011049723756906077,2
雅致,0.0055248618784530384,1
舒服,0.0055248618784530384,1
清新,0.0055248618784530384,1
重要,0.0055248618784530384,1
极广,0.0055248618784530384,1
亲切,0.0055248618784530384,1
温和,0.0055248618784530384,1
疏远,0.0055248618784530384,1
好惨,0.0055248618784530384,1
悦耳,0.0055248618784530384,1
骄傲,0.0055248618784530384,1
心疼,0.0055248618784530384,1
疯狂,0.0055248618784530384,1
坚定,0.0055248618784530384,1
耐看,0.0055248618784530384,1
富裕,0.0055248618784530384,1
贫困,0.0055248618784530384,1
最大,0.0055248618784530384,1
不愧,0.0055248618784530384,1
不小,0.0055248618784530384,1
干净,0.0055248618784530384,1
茁壮,0.0055248618784530384,1
娇小,0.0055248618784530384,1
不错,0.0055248618784530384,1
暴戾,0.0055248618784530384,1
紧张,0.0055248618784530384,1
有趣,0.0055248618784530384,1
惊艳,0.0055248618784530384,1
刻薄,0.0055248618784530384,1
不安,0.0055248618784530384,1
勇敢,0.0055248618784530384,1
容易,0.0055248618784530384,1
好瘦,0.0055248618784530384,1
不好意思,0.0055248618784530384,1
幽默,0.0055248618784530384,1
轻松,0.0055248618784530384,1
勤俭,0.0055248618784530384,1
淡薄,0.0055248618784530384,1
珍贵,0.0055248618784530384,1
艰难,0.0055248618784530384,1
伤痛,0.0055248618784530384,1
爽朗,0.0055248618784530384,1
纯爱,0.0055248618784530384,1
重看,0.0055248618784530384,1
充满,0.0055248618784530384,1
简单,0.0055248618784530384,1
乐观,0.0055248618784530384,1
着重,0.0055248618784530384,1
寂静,0.0055248618784530384,1
和谐,0.0055248618784530384,1
