词汇,词频,次数
世界,0.0761972583229482,428
先生,0.03453800961367278,194
太短,0.016556880897276124,93
读者,0.014776571123375467,83
爱情,0.012640199394694678,71
老师,0.011393982552964216,64
感觉,0.00907957984689336,51
姐姐,0.008367455937333096,47
老舍,0.00818942495994303,46
泪目,0.008011393982552965,45
时候,0.006765177140822503,38
医生,0.005875022253872174,33
节目,0.005518960299092042,31
有点,0.0048068363895317785,27
无国界,0.004272743457361581,24
气质,0.0039166815025814495,22
女神,0.0039166815025814495,22
力量,0.0037386505251913835,21
声音,0.0037386505251913835,21
战争,0.0033825885704112514,19
收视率,0.0030265266156311197,17
电脑,0.002848495638241054,16
日子,0.002848495638241054,16
老爷子,0.002492433683460922,14
历史,0.002492433683460922,14
弹幕,0.002492433683460922,14
爱心,0.002492433683460922,14
作文,0.0023144027060708564,13
时代,0.0021363717286807904,12
大家,0.0021363717286807904,12
天使,0.0021363717286807904,12
故事,0.0021363717286807904,12
大师,0.0021363717286807904,12
人生,0.0021363717286807904,12
孩子,0.0021363717286807904,12
爷爷,0.0019583407512907248,11
精神,0.0019583407512907248,11
父亲,0.0019583407512907248,11
重温,0.0019583407512907248,11
时间,0.0017803097739006587,10
地方,0.0017803097739006587,10
战乱,0.0017803097739006587,10
读书,0.0017803097739006587,10
经典,0.0017803097739006587,10
疫情,0.0017803097739006587,10
国家,0.0017803097739006587,10
人间,0.0016022787965105929,9
人家,0.0016022787965105929,9
学生,0.0016022787965105929,9
灵魂,0.0016022787965105929,9
眼睛,0.0016022787965105929,9
样子,0.0016022787965105929,9
意思,0.0016022787965105929,9
儿子,0.0016022787965105929,9
文字,0.001424247819120527,8
感情,0.001424247819120527,8
柳家,0.001424247819120527,8
共情,0.001424247819120527,8
能力,0.001424247819120527,8
意义,0.001424247819120527,8
名字,0.001424247819120527,8
诗书,0.001424247819120527,8
格局,0.001246216841730461,7
作业,0.001246216841730461,7
台词,0.001246216841730461,7
情感,0.001246216841730461,7
滴滴,0.001246216841730461,7
问题,0.001246216841730461,7
神仙,0.001246216841730461,7
口音,0.001246216841730461,7
妈呀,0.001246216841730461,7
印象,0.001246216841730461,7
打码,0.001246216841730461,7
对方,0.0010681858643403952,6
贵人,0.0010681858643403952,6
缘分,0.0010681858643403952,6
流泪,0.0010681858643403952,6
情书,0.0010681858643403952,6
答案,0.0010681858643403952,6
美女,0.0010681858643403952,6
人们,0.0010681858643403952,6
广告,0.0010681858643403952,6
理由,0.0010681858643403952,6
口罩,0.0010681858643403952,6
女士,0.0010681858643403952,6
大学,0.0010681858643403952,6
表情,0.0008901548869503294,5
现场,0.0008901548869503294,5
总结,0.0008901548869503294,5
演员,0.0008901548869503294,5
妈妈,0.0008901548869503294,5
时期,0.0008901548869503294,5
太牛,0.0008901548869503294,5
监狱,0.0008901548869503294,5
文化,0.0008901548869503294,5
散文,0.0008901548869503294,5
好帅,0.0008901548869503294,5
镜头,0.0008901548869503294,5
知性,0.0007121239095602635,4
企业家,0.0007121239095602635,4
年龄,0.0007121239095602635,4
首歌,0.0007121239095602635,4
语文,0.0007121239095602635,4
功底,0.0007121239095602635,4
理想,0.0007121239095602635,4
过分,0.0007121239095602635,4
模样,0.0007121239095602635,4
心怀,0.0007121239095602635,4
原则,0.0007121239095602635,4
花园,0.0007121239095602635,4
作品,0.0007121239095602635,4
爱意,0.0007121239095602635,4
女儿,0.0007121239095602635,4
专业,0.0007121239095602635,4
桃花源,0.0007121239095602635,4
韵味,0.0007121239095602635,4
毕业,0.0007121239095602635,4
西装,0.0007121239095602635,4
粉色,0.0007121239095602635,4
背景音乐,0.0007121239095602635,4
钢琴家,0.0007121239095602635,4
经历,0.0007121239095602635,4
感性,0.0007121239095602635,4
螺蛳,0.0007121239095602635,4
文人,0.0007121239095602635,4
代入,0.0007121239095602635,4
家乡,0.0007121239095602635,4
背景,0.0007121239095602635,4
月牙儿,0.0007121239095602635,4
男人,0.0007121239095602635,4
兽医,0.0007121239095602635,4
豹子,0.0007121239095602635,4
感人,0.0007121239095602635,4
歌词,0.0007121239095602635,4
投币,0.0007121239095602635,4
读音,0.0007121239095602635,4
老人家,0.0007121239095602635,4
时事,0.0007121239095602635,4
舍字,0.0007121239095602635,4
学校,0.0007121239095602635,4
爸爸,0.0007121239095602635,4
商人,0.0007121239095602635,4
偶像,0.0005340929321701976,3
医者,0.0005340929321701976,3
女生,0.0005340929321701976,3
诗译,0.0005340929321701976,3
传奇,0.0005340929321701976,3
帝国,0.0005340929321701976,3
儿媳妇,0.0005340929321701976,3
老父亲,0.0005340929321701976,3
话剧,0.0005340929321701976,3
人性,0.0005340929321701976,3
笑容,0.0005340929321701976,3
大学毕业,0.0005340929321701976,3
讲话,0.0005340929321701976,3
眼眶,0.0005340929321701976,3
新生儿,0.0005340929321701976,3
个人,0.0005340929321701976,3
星光,0.0005340929321701976,3
红包,0.0005340929321701976,3
夫妻,0.0005340929321701976,3
情诗,0.0005340929321701976,3
泪光,0.0005340929321701976,3
精彩,0.0005340929321701976,3
臭味,0.0005340929321701976,3
风云,0.0005340929321701976,3
语调,0.0005340929321701976,3
事儿,0.0005340929321701976,3
目标,0.0005340929321701976,3
夫人,0.0005340929321701976,3
体会,0.0005340929321701976,3
主持人,0.0005340929321701976,3
伴侣,0.0005340929321701976,3
文学,0.0005340929321701976,3
棒棒,0.0005340929321701976,3
催泪,0.0005340929321701976,3
朋友,0.0005340929321701976,3
新闻,0.0005340929321701976,3
女孩,0.0005340929321701976,3
电视机,0.0005340929321701976,3
正值,0.0005340929321701976,3
小学,0.0005340929321701976,3
声调,0.0005340929321701976,3
口语,0.0005340929321701976,3
原文,0.0005340929321701976,3
美学,0.0005340929321701976,3
心态,0.0005340929321701976,3
综艺,0.0005340929321701976,3
情人节,0.0005340929321701976,3
五道口,0.0005340929321701976,3
芭比,0.0005340929321701976,3
人物,0.0005340929321701976,3
满门抄斩,0.0005340929321701976,3
现实,0.0005340929321701976,3
人民,0.0005340929321701976,3
读书人,0.0005340929321701976,3
善人,0.0005340929321701976,3
老婆,0.0005340929321701976,3
实力,0.0005340929321701976,3
少女,0.0005340929321701976,3
成就,0.0005340929321701976,3
自豪,0.0005340929321701976,3
词作家,0.0005340929321701976,3
仁心,0.00035606195478013177,2
画风,0.00035606195478013177,2
心酸,0.00035606195478013177,2
姐妹,0.00035606195478013177,2
礼物,0.00035606195478013177,2
子女,0.00035606195478013177,2
枷锁,0.00035606195478013177,2
主人公,0.00035606195478013177,2
痕迹,0.00035606195478013177,2
寓意,0.00035606195478013177,2
私塾,0.00035606195478013177,2
眼神,0.00035606195478013177,2
卧槽,0.00035606195478013177,2
语气,0.00035606195478013177,2
人艺,0.00035606195478013177,2
开场,0.00035606195478013177,2
致橡树,0.00035606195478013177,2
魅力,0.00035606195478013177,2
动人,0.00035606195478013177,2
铭记,0.00035606195478013177,2
晚自习,0.00035606195478013177,2
人儿,0.00035606195478013177,2
屏幕,0.00035606195478013177,2
冠名,0.00035606195478013177,2
总导演,0.00035606195478013177,2
上线,0.00035606195478013177,2
才女,0.00035606195478013177,2
八卦,0.00035606195478013177,2
爱人,0.00035606195478013177,2
汗毛,0.00035606195478013177,2
光是,0.00035606195478013177,2
姐弟恋,0.00035606195478013177,2
子弹,0.00035606195478013177,2
进度条,0.00035606195478013177,2
文笔,0.00035606195478013177,2
笔记本,0.00035606195478013177,2
语句,0.00035606195478013177,2
校园,0.00035606195478013177,2
陪伴,0.00035606195478013177,2
灯火,0.00035606195478013177,2
咬字,0.00035606195478013177,2
定论,0.00035606195478013177,2
深情,0.00035606195478013177,2
世间,0.00035606195478013177,2
结局,0.00035606195478013177,2
牌子,0.00035606195478013177,2
显示器,0.00035606195478013177,2
百态,0.00035606195478013177,2
家属,0.00035606195478013177,2
琵琶行,0.00035606195478013177,2
鲜花,0.00035606195478013177,2
外公,0.00035606195478013177,2
好孩子,0.00035606195478013177,2
素材,0.00035606195478013177,2
梦想,0.00035606195478013177,2
榜样,0.00035606195478013177,2
多音字,0.00035606195478013177,2
耳机,0.00035606195478013177,2
真棒,0.00035606195478013177,2
麻花,0.00035606195478013177,2
视频,0.00035606195478013177,2
钢琴,0.00035606195478013177,2
弹钢琴,0.00035606195478013177,2
字幕,0.00035606195478013177,2
角落,0.00035606195478013177,2
策划,0.00035606195478013177,2
太棒,0.00035606195478013177,2
公益广告,0.00035606195478013177,2
护体,0.00035606195478013177,2
同款,0.00035606195478013177,2
老伴,0.00035606195478013177,2
围墙,0.00035606195478013177,2
芯片,0.00035606195478013177,2
膝盖,0.00035606195478013177,2
国有资产,0.00035606195478013177,2
叛徒,0.00035606195478013177,2
鞭尸,0.00035606195478013177,2
同村,0.00035606195478013177,2
脚脖子,0.00035606195478013177,2
血脉,0.00035606195478013177,2
上学,0.00035606195478013177,2
叔叔,0.00035606195478013177,2
小女孩,0.00035606195478013177,2
前辈,0.00035606195478013177,2
理想化,0.00035606195478013177,2
主义者,0.00035606195478013177,2
性情中人,0.00035606195478013177,2
恶心,0.00035606195478013177,2
单身,0.00035606195478013177,2
高龄,0.00035606195478013177,2
国贼,0.00035606195478013177,2
槟榔,0.00035606195478013177,2
哔哩,0.00035606195478013177,2
密码,0.00035606195478013177,2
道题,0.00017803097739006588,1
