词汇,词频,次数
致敬,0.07726544418728859,434
遇见,0.03151148299804166,177
可爱,0.019583407512907245,110
相爱,0.01691294285205626,95
联想,0.012106106462524479,68
感谢,0.01121595157557415,63
没有,0.010325796688623821,58
喜欢,0.009791703756453623,55
羡慕,0.007655332027772833,43
打卡,0.007477301050382767,42
朗读,0.0072992700729927005,41
希望,0.006943208118212569,39
翻译,0.006765177140822503,38
感恩,0.006587146163432437,37
觉得,0.005696991276482108,32
知道,0.005518960299092042,31
好像,0.005340929321701976,30
看到,0.0051628983443119105,29
还有,0.004450774434751646,25
翻车,0.004094712479971515,23
起来,0.0039166815025814495,22
熬夜,0.0037386505251913835,21
应该,0.0037386505251913835,21
感动,0.0032045575930211858,18
开始,0.002848495638241054,16
可惜,0.002848495638241054,16
想到,0.002670464660850988,15
不会,0.002670464660850988,15
好看,0.002670464660850988,15
发现,0.002670464660850988,15
不能,0.002492433683460922,14
成为,0.002492433683460922,14
记住,0.002492433683460922,14
吃饭,0.0023144027060708564,13
找到,0.0021363717286807904,12
醒来,0.0021363717286807904,12
好听,0.0021363717286807904,12
可能,0.0021363717286807904,12
学习,0.0021363717286807904,12
看看,0.0019583407512907248,11
怀念,0.0019583407512907248,11
讽刺,0.0019583407512907248,11
结婚,0.0017803097739006587,10
想起,0.0017803097739006587,10
发生,0.0017803097739006587,10
嫖娼,0.0017803097739006587,10
遇到,0.0016022787965105929,9
记得,0.0016022787965105929,9
属于,0.0016022787965105929,9
看见,0.0016022787965105929,9
值得,0.0016022787965105929,9
帮助,0.0016022787965105929,9
破防,0.001424247819120527,8
舍予,0.001424247819120527,8
准备,0.001424247819120527,8
腹有,0.001424247819120527,8
不用,0.001424247819120527,8
熟悉,0.001246216841730461,7
变成,0.001246216841730461,7
留下,0.001246216841730461,7
认为,0.001246216841730461,7
听到,0.001246216841730461,7
说话,0.001246216841730461,7
进去,0.001246216841730461,7
欢迎,0.001246216841730461,7
有点像,0.001246216841730461,7
搞笑,0.001246216841730461,7
想要,0.0010681858643403952,6
才能,0.0010681858643403952,6
感触,0.0010681858643403952,6
逝世,0.0010681858643403952,6
舍得,0.0010681858643403952,6
出来,0.0010681858643403952,6
理解,0.0010681858643403952,6
了不起,0.0010681858643403952,6
催生,0.0010681858643403952,6
做到,0.0010681858643403952,6
剪掉,0.0010681858643403952,6
看起来,0.0010681858643403952,6
看着,0.0008901548869503294,5
开头,0.0008901548869503294,5
佩服,0.0008901548869503294,5
开心,0.0008901548869503294,5
相信,0.0008901548869503294,5
出现,0.0008901548869503294,5
改变,0.0008901548869503294,5
阅读,0.0008901548869503294,5
来自,0.0008901548869503294,5
拯救,0.0008901548869503294,5
忠裂,0.0008901548869503294,5
终裂,0.0008901548869503294,5
飘扬,0.0008901548869503294,5
恋爱,0.0008901548869503294,5
肯定,0.0008901548869503294,5
看过,0.0008901548869503294,5
表示,0.0008901548869503294,5
回忆,0.0008901548869503294,5
适合,0.0008901548869503294,5
嫁给,0.0008901548869503294,5
推荐,0.0008901548869503294,5
看书,0.0008901548869503294,5
活着,0.0008901548869503294,5
出生,0.0008901548869503294,5
认识,0.0008901548869503294,5
撤军,0.0008901548869503294,5
算是,0.0007121239095602635,4
拷问,0.0007121239095602635,4
想法,0.0007121239095602635,4
存在,0.0007121239095602635,4
参演,0.0007121239095602635,4
感慨,0.0007121239095602635,4
磕到,0.0007121239095602635,4
忍不住,0.0007121239095602635,4
暗恋,0.0007121239095602635,4
赞助商,0.0007121239095602635,4
有钱,0.0007121239095602635,4
出戏,0.0007121239095602635,4
不负,0.0007121239095602635,4
了解,0.0007121239095602635,4
活到,0.0007121239095602635,4
不见,0.0007121239095602635,4
相遇,0.0007121239095602635,4
死亡,0.0007121239095602635,4
实在,0.0007121239095602635,4
塌房,0.0007121239095602635,4
忧伤,0.0007121239095602635,4
紧跟,0.0007121239095602635,4
开播,0.0007121239095602635,4
表白,0.0007121239095602635,4
报道,0.0007121239095602635,4
舍弃,0.0007121239095602635,4
迎接,0.0005340929321701976,3
打开,0.0005340929321701976,3
不到,0.0005340929321701976,3
追忆,0.0005340929321701976,3
拥有,0.0005340929321701976,3
离开,0.0005340929321701976,3
兼济,0.0005340929321701976,3
加油,0.0005340929321701976,3
带来,0.0005340929321701976,3
面试,0.0005340929321701976,3
身高,0.0005340929321701976,3
提到,0.0005340929321701976,3
看来,0.0005340929321701976,3
读错,0.0005340929321701976,3
摘抄,0.0005340929321701976,3
沉浸,0.0005340929321701976,3
播出来,0.0005340929321701976,3
高考,0.0005340929321701976,3
学到,0.0005340929321701976,3
避雷,0.0005340929321701976,3
出事,0.0005340929321701976,3
不知,0.0005340929321701976,3
想念,0.0005340929321701976,3
告诉,0.0005340929321701976,3
难过,0.0005340929321701976,3
回顾,0.0005340929321701976,3
前进,0.0005340929321701976,3
绝望,0.0005340929321701976,3
祝愿,0.0005340929321701976,3
结束,0.0005340929321701976,3
上网,0.0005340929321701976,3
就算,0.0005340929321701976,3
退休,0.0005340929321701976,3
过于,0.0005340929321701976,3
呵呵,0.0005340929321701976,3
朗诵,0.0005340929321701976,3
降临,0.00035606195478013177,2
读读,0.00035606195478013177,2
诠释,0.00035606195478013177,2
沉淀,0.00035606195478013177,2
冻住,0.00035606195478013177,2
失败,0.00035606195478013177,2
讲述,0.00035606195478013177,2
可恶,0.00035606195478013177,2
错过,0.00035606195478013177,2
迷失,0.00035606195478013177,2
坦荡,0.00035606195478013177,2
看不出来,0.00035606195478013177,2
无悔,0.00035606195478013177,2
辜负,0.00035606195478013177,2
见到,0.00035606195478013177,2
变调,0.00035606195478013177,2
称呼,0.00035606195478013177,2
不了,0.00035606195478013177,2
写给,0.00035606195478013177,2
掌握,0.00035606195478013177,2
表达,0.00035606195478013177,2
欺负,0.00035606195478013177,2
使命,0.00035606195478013177,2
看一遍,0.00035606195478013177,2
拆台,0.00035606195478013177,2
哽咽,0.00035606195478013177,2
纠正,0.00035606195478013177,2
打击,0.00035606195478013177,2
知性美,0.00035606195478013177,2
莫名,0.00035606195478013177,2
溢出,0.00035606195478013177,2
互换,0.00035606195478013177,2
赞助,0.00035606195478013177,2
等待,0.00035606195478013177,2
播出,0.00035606195478013177,2
失事,0.00035606195478013177,2
记不住,0.00035606195478013177,2
淋过,0.00035606195478013177,2
撑伞,0.00035606195478013177,2
初见,0.00035606195478013177,2
碰到,0.00035606195478013177,2
在读,0.00035606195478013177,2
来得,0.00035606195478013177,2
舍不得,0.00035606195478013177,2
叉腰,0.00035606195478013177,2
初恋,0.00035606195478013177,2
起立,0.00035606195478013177,2
看稿,0.00035606195478013177,2
到位,0.00035606195478013177,2
感好,0.00035606195478013177,2
难受,0.00035606195478013177,2
自有,0.00035606195478013177,2
毫无,0.00035606195478013177,2
出名,0.00035606195478013177,2
提倡,0.00035606195478013177,2
导播,0.00035606195478013177,2
不多,0.00035606195478013177,2
遇难,0.00035606195478013177,2
抱歉,0.00035606195478013177,2
穿越,0.00035606195478013177,2
否定,0.00035606195478013177,2
收获,0.00035606195478013177,2
看上去,0.00035606195478013177,2
拍照,0.00035606195478013177,2
后悔,0.00035606195478013177,2
还好,0.00035606195478013177,2
吃饱,0.00035606195478013177,2
放下,0.00035606195478013177,2
渴望,0.00035606195478013177,2
治愈,0.00035606195478013177,2
传承,0.00035606195478013177,2
叹息,0.00035606195478013177,2
欣赏,0.00035606195478013177,2
无限,0.00035606195478013177,2
送给,0.00035606195478013177,2
害怕,0.00035606195478013177,2
看不到,0.00035606195478013177,2
回看,0.00035606195478013177,2
迟到,0.00035606195478013177,2
期待,0.00035606195478013177,2
打压,0.00035606195478013177,2
收下,0.00035606195478013177,2
包含,0.00035606195478013177,2
不行,0.00035606195478013177,2
侵吞,0.00035606195478013177,2
鼓掌,0.00035606195478013177,2
听够,0.00035606195478013177,2
得不到,0.00035606195478013177,2
可笑,0.00035606195478013177,2
违背,0.00035606195478013177,2
庆幸,0.00035606195478013177,2
不配,0.00035606195478013177,2
纠结,0.00035606195478013177,2
封杀,0.00035606195478013177,2
夺冠,0.00035606195478013177,2
解放,0.00035606195478013177,2
说累,0.00017803097739006588,1
光送,0.00017803097739006588,1
提词,0.00017803097739006588,1
活著,0.00017803097739006588,1
连读,0.00017803097739006588,1
完来,0.00017803097739006588,1
捧哏,0.00017803097739006588,1
听能,0.00017803097739006588,1
还护,0.00017803097739006588,1
心善,0.00017803097739006588,1
倾述,0.00017803097739006588,1
刷到,0.00017803097739006588,1
默读,0.00017803097739006588,1
节选,0.00017803097739006588,1
夸夸,0.00017803097739006588,1
播出去,0.00017803097739006588,1
