词汇,词频,次数
老师,0.23204419889502761,42
姐姐,0.09392265193370165,17
读者,0.08287292817679558,15
孩子,0.07734806629834254,14
节目,0.06629834254143646,12
白色,0.055248618784530384,10
先生,0.049723756906077346,9
衣服,0.03867403314917127,7
电影,0.03314917127071823,6
家庭,0.03314917127071823,6
人生,0.027624309392265192,5
感觉,0.027624309392265192,5
爸爸,0.027624309392265192,5
口红,0.027624309392265192,5
问题,0.022099447513812154,4
爱情,0.022099447513812154,4
精神,0.022099447513812154,4
大师,0.022099447513812154,4
时候,0.022099447513812154,4
大家,0.022099447513812154,4
原型,0.022099447513812154,4
女排,0.022099447513812154,4
眼泪,0.022099447513812154,4
电视机,0.016574585635359115,3
情感,0.016574585635359115,3
声音,0.016574585635359115,3
感性,0.016574585635359115,3
地方,0.016574585635359115,3
灵魂,0.016574585635359115,3
故事,0.016574585635359115,3
词作家,0.016574585635359115,3
经典,0.016574585635359115,3
八卦,0.016574585635359115,3
奶奶,0.016574585635359115,3
出场,0.016574585635359115,3
姑娘,0.016574585635359115,3
梦想,0.016574585635359115,3
泪目,0.016574585635359115,3
父母,0.016574585635359115,3
父亲,0.016574585635359115,3
时代,0.016574585635359115,3
老婆,0.016574585635359115,3
理想,0.016574585635359115,3
心态,0.016574585635359115,3
观众,0.011049723756906077,2
牌子,0.011049723756906077,2
显示器,0.011049723756906077,2
画面,0.011049723756906077,2
片花,0.011049723756906077,2
自卑,0.011049723756906077,2
老爷子,0.011049723756906077,2
眼睛,0.011049723756906077,2
西装,0.011049723756906077,2
魅力,0.011049723756906077,2
世界,0.011049723756906077,2
作品,0.011049723756906077,2
院长,0.011049723756906077,2
开场,0.011049723756906077,2
广告,0.011049723756906077,2
文学,0.011049723756906077,2
美女,0.011049723756906077,2
有点,0.011049723756906077,2
老奶奶,0.011049723756906077,2
妈妈,0.011049723756906077,2
味道,0.011049723756906077,2
作家,0.011049723756906077,2
感情,0.011049723756906077,2
女神,0.011049723756906077,2
文字,0.011049723756906077,2
表情,0.011049723756906077,2
学生,0.011049723756906077,2
星际,0.011049723756906077,2
卧槽,0.011049723756906077,2
年龄,0.011049723756906077,2
郎导,0.011049723756906077,2
现场,0.011049723756906077,2
笑话,0.011049723756906077,2
陪伴,0.011049723756906077,2
魔术,0.011049723756906077,2
颜色,0.011049723756906077,2
忠贞,0.011049723756906077,2
裙子,0.011049723756906077,2
学霸,0.011049723756906077,2
大学,0.011049723756906077,2
国家,0.011049723756906077,2
老一辈,0.011049723756906077,2
人间,0.011049723756906077,2
男人,0.011049723756906077,2
红色,0.011049723756906077,2
