词汇,词频,次数
可爱,0.09944751381215469,18
喜欢,0.07734806629834254,14
致敬,0.06077348066298342,11
没有,0.04419889502762431,8
遇见,0.03867403314917127,7
好看,0.03867403314917127,7
朗读,0.03314917127071823,6
知道,0.027624309392265192,5
想到,0.027624309392265192,5
看到,0.027624309392265192,5
不会,0.027624309392265192,5
理解,0.027624309392265192,5
还有,0.022099447513812154,4
发现,0.022099447513812154,4
应该,0.022099447513812154,4
听到,0.022099447513812154,4
感谢,0.016574585635359115,3
带来,0.016574585635359115,3
熬夜,0.016574585635359115,3
觉得,0.016574585635359115,3
好听,0.016574585635359115,3
翻译,0.016574585635359115,3
还好,0.016574585635359115,3
可能,0.016574585635359115,3
可惜,0.016574585635359115,3
治愈,0.016574585635359115,3
下厨,0.016574585635359115,3
看着,0.011049723756906077,2
导播,0.011049723756906077,2
告诉,0.011049723756906077,2
避雷,0.011049723756906077,2
称呼,0.011049723756906077,2
忍不住,0.011049723756906077,2
羡慕,0.011049723756906077,2
开始,0.011049723756906077,2
有点像,0.011049723756906077,2
拥有,0.011049723756906077,2
出现,0.011049723756906077,2
改变,0.011049723756906077,2
想法,0.011049723756906077,2
估计,0.011049723756906077,2
相信,0.011049723756906077,2
震惊,0.011049723756906077,2
学到,0.011049723756906077,2
好像,0.011049723756906077,2
耗尽,0.011049723756906077,2
穿越,0.011049723756906077,2
叛逆,0.011049723756906077,2
觉醒,0.011049723756906077,2
学霸,0.011049723756906077,2
起来,0.011049723756906077,2
提词,0.011049723756906077,2
搞笑,0.011049723756906077,2
和解,0.011049723756906077,2
表达,0.011049723756906077,2
希望,0.011049723756906077,2
放弃,0.011049723756906077,2
想念,0.011049723756906077,2
顿悟,0.011049723756906077,2
忍不处,0.011049723756906077,2
自闭,0.011049723756906077,2
遇到,0.0055248618784530384,1
死亡,0.0055248618784530384,1
加油,0.0055248618784530384,1
描绘,0.0055248618784530384,1
恋爱,0.0055248618784530384,1
创造,0.0055248618784530384,1
透明,0.0055248618784530384,1
要命,0.0055248618784530384,1
讲出,0.0055248618784530384,1
怀有,0.0055248618784530384,1
兴致,0.0055248618784530384,1
打卡,0.0055248618784530384,1
相册,0.0055248618784530384,1
上留,0.0055248618784530384,1
看起来,0.0055248618784530384,1
回事,0.0055248618784530384,1
拷问,0.0055248618784530384,1
喜爱,0.0055248618784530384,1
杀手,0.0055248618784530384,1
听信,0.0055248618784530384,1
说法,0.0055248618784530384,1
创办,0.0055248618784530384,1
赞助,0.0055248618784530384,1
相爱,0.0055248618784530384,1
写给,0.0055248618784530384,1
裂开,0.0055248618784530384,1
成为,0.0055248618784530384,1
出事,0.0055248618784530384,1
认为,0.0055248618784530384,1
属于,0.0055248618784530384,1
等待,0.0055248618784530384,1
播出,0.0055248618784530384,1
拍照,0.0055248618784530384,1
表白,0.0055248618784530384,1
开播,0.0055248618784530384,1
在读,0.0055248618784530384,1
初见,0.0055248618784530384,1
说话,0.0055248618784530384,1
放开,0.0055248618784530384,1
劝退,0.0055248618784530384,1
在手,0.0055248618784530384,1
讽刺,0.0055248618784530384,1
偏爱,0.0055248618784530384,1
痛哭,0.0055248618784530384,1
不足以,0.0055248618784530384,1
坚持,0.0055248618784530384,1
归宿,0.0055248618784530384,1
背诵,0.0055248618784530384,1
吃饭,0.0055248618784530384,1
出书,0.0055248618784530384,1
独立,0.0055248618784530384,1
馈赠,0.0055248618784530384,1
出国,0.0055248618784530384,1
留学,0.0055248618784530384,1
超爱,0.0055248618784530384,1
示范,0.0055248618784530384,1
伺候,0.0055248618784530384,1
赞助商,0.0055248618784530384,1
打码,0.0055248618784530384,1
沉迷,0.0055248618784530384,1
落泪,0.0055248618784530384,1
吟诵,0.0055248618784530384,1
降临,0.0055248618784530384,1
抛开,0.0055248618784530384,1
鉴赏,0.0055248618784530384,1
不用,0.0055248618784530384,1
流转,0.0055248618784530384,1
不该,0.0055248618784530384,1
不得,0.0055248618784530384,1
回归,0.0055248618784530384,1
看过,0.0055248618784530384,1
想要,0.0055248618784530384,1
来得,0.0055248618784530384,1
不够,0.0055248618784530384,1
前进,0.0055248618784530384,1
不想,0.0055248618784530384,1
结婚,0.0055248618784530384,1
刻入,0.0055248618784530384,1
可见,0.0055248618784530384,1
兴奋,0.0055248618784530384,1
无赖,0.0055248618784530384,1
